batch_size,kv_len,default_ms,patched_ms,oracle_ms,default_chunks,patched_chunks,oracle_chunks,oracle_k,oracle_source,patched_speedup,oracle_speedup
4,5888,0.1211,0.12068,0.1184,5.0,4.0,1.0,1,k_1,1.0034802784222738,1.022804054054054
4,6016,0.12318,0.12257,0.1201,5.0,4.0,1.0,1,k_1,1.0049767479807457,1.0256452955870108
4,6144,0.12643,0.12554,0.1229,5.0,4.0,1.0,1,k_1,1.0070893739047313,1.0287225386493084
4,6272,0.12769,0.12769,0.1257,5.0,4.0,1.0,1,k_1,1.0,1.0158313444709626
4,6400,0.13083,0.12956,0.1285,5.0,4.0,1.0,1,k_1,1.0098024081506638,1.0181322957198444
4,6528,0.13284,0.13221,0.1303,5.0,4.0,2.0,2,k_2,1.004765146358067,1.019493476592479
4,6656,0.13589,0.13474,0.1328,5.0,4.0,1.0,1,k_1,1.0085349562119639,1.0232680722891567
4,6784,0.13737,0.13701,0.135,5.0,4.0,1.0,1,k_1,1.0026275454346398,1.0175555555555553
4,6912,0.14055,0.13943,0.1381,5.0,4.0,1.0,1,k_1,1.008032704582945,1.0177407675597394
4,7040,0.14172,0.14165,0.1394,5.0,4.0,1.0,1,k_1,1.0004941757853867,1.016642754662841
4,7168,0.14484,0.14394,0.1424,5.0,4.0,1.0,1,k_1,1.0062526052521883,1.017134831460674
4,7296,0.14637,0.14623,0.1444,5.0,4.0,2.0,2,k_2,1.0009573958831977,1.0136426592797785
4,7424,0.14974,0.14883,0.1469,5.0,4.0,1.0,1,k_1,1.006114358664248,1.0193328795098706
4,7552,0.15146,0.15129,0.1492,5.0,4.0,2.0,2,k_2,1.001123669773283,1.01514745308311
4,7680,0.15427,0.15376,0.152,5.0,4.0,1.0,1,k_1,1.0033168574401663,1.0149342105263157
4,7808,0.1564,0.15556,0.1541,5.0,4.0,2.0,2,k_2,1.005399845718694,1.0149253731343286
4,7936,0.15927,0.15808,0.1573,5.0,4.0,1.0,1,k_1,1.007527834008097,1.012523839796567
4,8064,0.16198,0.16048,0.1587,5.0,4.0,2.0,2,k_2,1.009346959122632,1.0206679269061123
4,8192,0.16468,0.16285,0.1616,5.0,4.0,2.0,2,k_2,1.0112373349708321,1.019059405940594
8,128,0.04312,0.04124,0.04217,1.0,1.0,1.0,1,k_1,1.0455868089233753,1.022527863410007
8,256,0.05055,0.04129,0.0419,2.0,1.0,1.0,1,k_1,1.2242673770888834,1.2064439140811456
8,384,0.04925,0.04137,0.0403,2.0,1.0,1.0,1,k_1,1.1904761904761907,1.2220843672456576
8,512,0.04975,0.04238,0.0408,2.0,1.0,1.0,1,k_1,1.1739027843322323,1.219362745098039
8,640,0.05031,0.04158,0.0397,2.0,1.0,1.0,1,k_1,1.20995670995671,1.2672544080604535
8,768,0.04971,0.0411,0.0406,2.0,1.0,1.0,1,k_1,1.2094890510948906,1.224384236453202
8,896,0.0496,0.04153,0.041,2.0,1.0,1.0,1,k_1,1.194317360943896,1.2097560975609756
8,1024,0.05197,0.0449,0.0457,2.0,1.0,1.0,1,k_1,1.1574610244988863,1.1371991247264772
8,1152,0.05652,0.04956,0.0503,2.0,1.0,1.0,1,k_1,1.1404358353510895,1.1236580516898609
8,1280,0.06042,0.05449,0.0544,2.0,1.0,1.0,1,k_1,1.1088273077628923,1.1106617647058825
8,1408,0.06453,0.05903,0.0589,2.0,1.0,1.0,1,k_1,1.0931729629002203,1.0955857385398982
8,1536,0.06926,0.06404,0.0642,2.0,1.0,1.0,1,k_1,1.0815115552779513,1.0788161993769472
8,1664,0.0735,0.06844,0.0683,2.0,1.0,1.0,1,k_1,1.0739333722969022,1.076134699853587
8,1792,0.07859,0.0733,0.0733,2.0,1.0,1.0,1,k_1,1.072169167803547,1.072169167803547
8,1920,0.08308,0.07801,0.0778,2.0,1.0,1.0,1,k_1,1.0649916677349058,1.067866323907455
8,2048,0.08803,0.08823,0.0827,2.0,2.0,1.0,1,k_1,0.9977331973251727,1.0644498186215237
8,2176,0.09218,0.09235,0.0871,2.0,2.0,1.0,1,k_1,0.9981591770438548,1.0583237657864524
8,2304,0.09722,0.09811,0.0921,2.0,2.0,1.0,1,k_1,0.990928549587198,1.0555917480998913
8,2432,0.10185,0.10222,0.0967,2.0,2.0,1.0,1,k_1,0.9963803560946977,1.0532574974146847
8,2560,0.10684,0.10722,0.1016,2.0,2.0,1.0,1,k_1,0.9964558850960642,1.0515748031496064
8,2688,0.11112,0.11122,0.1062,2.0,2.0,1.0,1,k_1,0.9991008811364862,1.046327683615819
8,2816,0.11611,0.11634,0.1113,2.0,2.0,1.0,1,k_1,0.9980230359291732,1.0432165318957773
8,2944,0.12019,0.12047,0.1156,2.0,2.0,1.0,1,k_1,0.9976757699012203,1.0397058823529413
8,3072,0.12551,0.12583,0.1209,2.0,2.0,1.0,1,k_1,0.9974568862751332,1.0381306865177835
8,3200,0.13024,0.13006,0.1254,2.0,2.0,1.0,1,k_1,1.0013839766261725,1.03859649122807
8,3328,0.13533,0.13539,0.1302,2.0,2.0,1.0,1,k_1,0.9995568358076667,1.0394009216589861
8,3456,0.13941,0.13948,0.1349,2.0,2.0,1.0,1,k_1,0.9994981359334673,1.033432171979244
8,3584,0.14445,0.14465,0.1397,2.0,2.0,1.0,1,k_1,0.9986173522295195,1.034001431639227
8,3712,0.14874,0.14868,0.1442,2.0,2.0,1.0,1,k_1,1.000403551251009,1.031484049930652
8,3840,0.15384,0.1539,0.149,2.0,2.0,1.0,1,k_1,0.9996101364522417,1.03248322147651
8,3968,0.15816,0.15821,0.1538,2.0,2.0,1.0,1,k_1,0.9996839643511789,1.0283485045513654
8,4096,0.16312,0.1635,0.158,2.0,2.0,1.0,1,k_1,0.9976758409785932,1.0324050632911392
8,4224,0.16758,0.16784,0.1632,2.0,2.0,1.0,1,k_1,0.9984509056244043,1.0268382352941177
8,4352,0.17262,0.17262,0.1675,2.0,2.0,1.0,1,k_1,1.0,1.0305671641791043
8,4480,0.17708,0.17678,0.1725,2.0,2.0,1.0,1,k_1,1.0016970245502885,1.0265507246376813
8,4608,0.18257,0.18208,0.1773,2.0,2.0,1.0,1,k_1,1.0026911247803165,1.0297236322617034
8,4736,0.18654,0.18645,0.1818,2.0,2.0,1.0,1,k_1,1.0004827031375705,1.0260726072607262
8,4864,0.19151,0.19188,0.1866,2.0,2.0,1.0,1,k_1,0.9980717114863458,1.0263129689174706
8,4992,0.19578,0.19565,0.1914,2.0,2.0,1.0,1,k_1,1.0006644518272427,1.0228840125391852
8,5120,0.20059,0.20093,0.1964,2.0,2.0,1.0,1,k_1,0.9983078684118847,1.0213340122199592
8,5248,0.20511,0.20516,0.2007,2.0,2.0,1.0,1,k_1,0.9997562877753947,1.0219730941704035
8,5376,0.21038,0.21053,0.2056,2.0,2.0,1.0,1,k_1,0.9992875124685319,1.0232490272373542
8,5504,0.21489,0.21484,0.2098,2.0,2.0,1.0,1,k_1,1.0002327313349468,1.0242612011439467
8,5632,0.21977,0.21963,0.2148,2.0,2.0,1.0,1,k_1,1.0006374356872922,1.0231378026070763
8,5760,0.22458,0.22401,0.2194,2.0,2.0,1.0,1,k_1,1.0025445292620865,1.023609845031905
8,5888,0.22896,0.22928,0.2248,2.0,2.0,1.0,1,k_1,0.9986043265875785,1.0185053380782918
8,6016,0.23321,0.23343,0.2286,2.0,2.0,1.0,1,k_1,0.9990575333076297,1.0201662292213474
8,6144,0.2383,0.23863,0.2347,2.0,2.0,1.0,1,k_1,0.998617105979969,1.0153387302939925
8,6272,0.24274,0.24259,0.2381,2.0,2.0,1.0,1,k_1,1.0006183272187643,1.019487610247795
8,6400,0.24784,0.24807,0.2433,2.0,2.0,1.0,1,k_1,0.9990728423428871,1.0186600904233458
8,6528,0.25251,0.25272,0.2476,2.0,2.0,1.0,1,k_1,0.9991690408357076,1.0198303715670438
8,6656,0.25729,0.25719,0.2528,2.0,2.0,1.0,1,k_1,1.0003888176056615,1.0177610759493672
8,6784,0.26139,0.2618,0.2571,2.0,2.0,1.0,1,k_1,0.9984339190221544,1.0166861143523922
